Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Fx,Fy,Fz,Mx,My,Mz,Extra 1,Extra 2
s,N,N,N,N,N,N,N,N,N,N,N,Nm,Nm,Nm,N,N
6.4,-0.704302,15.8561,18.8349,2.9432,2.30244,-2.32293,5.28434,8.8065,15.1518,21.7781,14.0703,-0.811401,-0.244426,1.42897,0,0
6.5,0.227683,17.6701,18.9297,3.49023,2.81361,-2.7201,4.68151,9.76639,17.8978,22.42,14.5414,-0.825377,-0.318558,1.46612,0,0
6.6,0.0394549,17.66,19.6035,3.19116,2.89982,-3.01644,6.02341,10.8299,17.6994,22.7947,16.7367,-0.975772,-0.321684,1.50555,0,0
6.7,0.712694,18.7575,22.0499,7.22536,3.05917,-2.62342,4.97251,11.0142,19.4702,29.2753,16.4225,-0.894182,-0.351729,1.48231,0,0
6.8,-0.539289,21.5197,21.1539,2.72642,3.13089,-3.09568,4.67551,10.9743,20.9804,23.8803,15.6851,-0.897842,-0.375762,1.82122,0,0
6.9,0.075422,18.3605,20.2143,4.41012,2.98854,-2.71236,5.69632,10.9274,18.4359,24.6244,16.8999,-0.939981,-0.327958,1.52552,0,0
7,-0.476292,20.2167,22.1076,4.32489,3.05296,-2.56042,4.96772,10.9886,19.7404,26.4325,16.4489,-0.889169,-0.349028,1.72333,0,0
7.1,-0.898961,19.5719,23.2225,3.14778,3.12467,-3.24195,6.32913,11.0112,18.6729,26.3702,17.223,-1.00381,-0.33146,1.77931,0,0
7.2,0.946699,18.1523,18.1635,3.31639,2.55781,-3.34778,5.22733,10.7799,19.099,21.4799,15.2173,-0.965839,-0.343745,1.43474,0,0
7.3,-0.169591,16.9672,16.3819,0.577109,2.29329,-3.35475,5.79943,10.3196,16.7976,16.9591,15.0576,-0.98788,-0.305047,1.45951,0,0
7.4,-0.45166,17.3562,16.9953,1.65133,2.91214,-3.01176,5.49153,10.7145,16.9046,18.6467,16.1064,-0.937575,-0.334406,1.48427,0,0
7.5,0.880105,16.8392,17.547,3.70669,2.24631,-2.71378,5.20902,10.084,17.7193,21.2536,14.8255,-0.906227,-0.295052,1.33285,0,0
7.6,-0.382778,17.2319,21.4595,5.1493,2.68021,-2.18375,4.87671,9.31124,16.8491,26.6088,14.6844,-0.787261,-0.278955,1.50215,0,0
7.7,-0.545611,17.146,19.2738,2.81383,2.48958,-2.96936,5.5579,10.1101,16.6004,22.0876,15.1883,-0.9285,-0.300335,1.51107,0,0
7.8,0.324358,17.3974,17.3173,2.81884,2.67563,-2.45536,5.29611,10.752,17.7218,20.1362,16.2684,-0.9101,-0.317606,1.41665,0,0
7.9,0.24959,16.2879,20.2604,5.36423,2.6801,-2.59236,5.37502,9.81881,16.5375,25.6246,15.2816,-0.8686,-0.291488,1.36909,0,0
8,-0.565774,18.6771,20.0327,2.85928,2.60784,-2.89165,3.83442,8.84672,18.1113,22.892,12.3973,-0.745485,-0.315353,1.62167,0,0
8.1,0.741795,18.0845,18.462,3.69306,2.54822,-3.11465,5.40543,11.0295,18.8263,22.1551,15.8685,-0.977577,-0.338608,1.44027,0,0
8.2,-0.152588,19.0069,19.8429,3.14789,2.87519,-2.41983,4.67137,9.91298,18.8543,22.9907,15.0397,-0.812417,-0.316099,1.60252,0,0
8.3,-0.626155,16.8857,18.6455,2.40511,2.52402,-2.71835,5.02145,9.31898,16.2595,21.0506,14.1461,-0.835749,-0.286197,1.49414,0,0
8.4,0.152261,18.5262,18.8404,3.15432,2.74375,-2.93219,4.60587,10.5694,18.6785,21.9947,14.9869,-0.883416,-0.349185,1.52708,0,0
8.5,-0.639779,18.2847,18.9563,1.98822,2.64773,-2.85819,6.31191,11.2086,17.6449,20.9445,17.31,-1.01953,-0.312077,1.5972,0,0
8.6,-0.473458,18.3697,20.9637,4.02756,2.81743,-2.71966,5.74744,11.032,17.8963,24.9913,16.8772,-0.959196,-0.324649,1.59157,0,0
8.7,0.763484,18.1858,18.3637,3.39345,2.47814,-2.87759,5.4536,10.9351,18.9492,21.7572,15.9892,-0.965319,-0.325117,1.45089,0,0
8.8,-0.124468,18.7095,23.1843,6.00804,3.12108,-1.84359,5.32085,10.7041,18.585,29.1924,17.3025,-0.847982,-0.310439,1.59824,0,0
8.9,0.406429,20.4341,19.114,2.12838,2.8438,-3.462,5.68793,11.8624,20.8406,21.2424,16.9321,-1.04469,-0.374408,1.66116,0,0
9,0.879451,17.7902,19.8688,4.64107,2.40064,-3.35988,6.57567,11.6724,18.6697,24.5099,17.2889,-1.10442,-0.325718,1.4292,0,0
9.1,-0.504521,18.7353,21.857,3.18876,2.52838,-3.35181,6.28193,10.6303,18.2308,25.0458,16.0888,-1.0198,-0.306855,1.66634,0,0
9.2,1.82506,17.2104,17.712,4.42341,2.46964,-3.08892,5.51049,10.7605,19.0354,22.1354,15.6517,-0.971191,-0.324257,1.28331,0,0
9.3,0.248282,17.9934,20.0381,4.59878,2.96544,-2.43672,4.24292,9.80552,18.2417,24.6368,14.5772,-0.777384,-0.328942,1.48352,0,0
9.4,-0.772531,19.1587,20.1963,1.48206,2.92489,-3.23781,5.69523,10.7784,18.3862,21.6784,16.1607,-0.965225,-0.337375,1.70747,0,0
9.5,0.213732,15.7648,20.9772,7.3798,2.48282,-2.26342,5.9676,10.8214,15.9786,28.357,17.0084,-0.952754,-0.288002,1.30211,0,0
9.6,-0.752803,18.7865,20.1106,2.22342,2.86516,-2.70636,4.9166,9.93118,18.0337,22.3341,15.0066,-0.844616,-0.317583,1.66013,0,0
9.7,-0.583213,19.5009,20.0392,1.72272,2.66462,-3.25241,5.98755,11.311,18.9177,21.7619,16.7108,-1.02847,-0.337215,1.70433,0,0
9.8,-0.137874,16.3814,17.1235,1.64195,2.37492,-2.92184,6.0148,10.4774,16.2435,18.7655,15.9453,-0.979752,-0.292782,1.41431,0,0
9.9,0.571333,19.2887,18.4195,1.6958,2.97993,-3.26658,5.76106,11.4316,19.8601,20.1153,16.906,-1.00506,-0.35751,1.57796,0,0
10,-0.546265,18.2441,20.6753,2.2013,2.61514,-2.99944,6.2052,10.3262,17.6978,22.8766,16.1471,-0.972651,-0.292066,1.63466,0,0
10.1,-0.694493,18.0797,19.2956,1.29645,2.49405,-3.2789,6.25011,10.4841,17.3852,20.5921,15.9494,-1.00735,-0.300208,1.61949,0,0
10.2,0.648499,17.9768,19.1959,4.6245,3.19105,-2.21122,4.30865,10.0512,18.6253,23.8204,15.3397,-0.76935,-0.334344,1.43352,0,0
10.3,-0.569589,20.6181,20.0093,1.64675,2.8668,-3.51475,5.41469,11.4949,20.0485,21.656,16.2616,-1.00956,-0.373852,1.76917,0,0
10.4,-2.06015,16.8934,19.9646,1.01798,2.5068,-2.89339,6.26242,9.60454,14.8333,20.9826,15.4804,-0.934579,-0.262269,1.65823,0,0
10.5,-1.10855,17.647,20.3268,2.31301,2.31814,-3.1589,5.83954,9.792,16.5385,22.6398,14.7908,-0.947157,-0.282885,1.61886,0,0
10.6,-0.344195,15.4865,16.8806,1.92588,2.30103,-2.92162,5.84259,9.62568,15.1423,18.8065,14.8477,-0.92511,-0.270172,1.3589,0,0
10.7,0.415257,17.0217,20.8035,6.36673,2.57448,-2.54985,4.65698,9.77304,17.437,27.1702,14.4547,-0.82831,-0.307212,1.38798,0,0
10.8,0.282288,17.7701,17.5254,2.94015,2.82015,-3.0341,5.10396,10.6541,18.0523,20.4655,15.5441,-0.918392,-0.342133,1.4431,0,0
10.9,0.87204,16.1536,16.1252,4.1626,2.56675,-2.31607,4.11922,9.89761,17.0256,20.2878,14.2675,-0.791554,-0.319836,1.23757,0,0
11,-0.278037,16.8192,21.2874,5.67071,2.56827,-1.90953,5.32216,9.62415,16.5412,26.9581,15.6051,-0.821535,-0.263394,1.45159,0,0
11.1,0.0875201,16.41,18.5685,3.51693,2.52511,-2.61154,5.86297,10.4684,16.4975,22.0855,16.2449,-0.944024,-0.292262,1.39009,0,0
11.2,0.398799,18.9635,20.9584,5.81109,3.22702,-2.34778,4.04979,10.0661,19.3623,26.7695,14.9951,-0.761109,-0.347734,1.52189,0,0
11.3,0.889587,16.8555,16.8166,3.02059,2.57906,-2.5868,6.19322,11.1269,17.7451,19.8372,17.3124,-0.996353,-0.302987,1.33192,0,0
11.4,0.864192,15.3428,20.6421,8.204,2.35258,-2.18135,5.63038,10.2978,16.207,28.8461,16.0994,-0.906027,-0.276041,1.20566,0,0
11.5,0.810569,17.0367,20.5708,6.67823,2.7965,-2.74059,5.42603,10.6197,17.8472,27.249,16.1016,-0.919413,-0.321922,1.34978,0,0
11.6,-0.000762939,18.4786,17.4371,0.0676836,2.48021,-3.34364,6.33763,11.1737,18.4778,17.5048,16.6479,-1.05655,-0.319797,1.58365,0,0
11.7,-0.0384739,19.8056,21.1877,2.86309,2.86713,-3.28816,6.75823,12.3416,19.7671,24.0508,18.6788,-1.12245,-0.352161,1.69077,0,0
11.8,0.495584,20.5369,20.6498,3.99017,3.20827,-2.84326,3.05448,9.67549,21.0325,24.64,13.095,-0.710985,-0.380176,1.65217,0,0
11.9,-0.0409807,17.6127,19.43,3.31944,2.72685,-3.50789,6.19049,11.1916,17.5717,22.7494,16.601,-1.04438,-0.337074,1.4984,0,0
12,-0.881522,17.5589,22.3334,4.64303,2.78843,-2.92565,7.05904,11.2532,16.6774,26.9764,18.1751,-1.06085,-0.297249,1.59104,0,0
12.1,-0.589098,17.6909,18.6712,2.58222,2.69764,-2.81993,6.08913,11.1392,17.1018,21.2534,17.1061,-0.997663,-0.317031,1.53377,0,0
12.2,0.690896,18.5007,21.6673,6.84302,2.69972,-2.88053,6.93174,12.5901,19.1916,28.5103,19.3411,-1.1329,-0.337159,1.46879,0,0
